,"colony,date,ant_id,x,y,file_name,ant_type"
437,"N4,8/13/12,6,1351.7766,736.457447,5225,1"
438,"N4,8/13/12,6,1365.81915,724.968085,5224,1"
439,"N4,8/13/12,6,1339.01064,718.585106,5220,1"
440,"N4,8/13/12,6,1328.79787,754.329787,5206,1"
441,"N4,8/13/12,6,1314.75532,749.223404,5196,1"
442,"N4,8/13/12,6,1312.20213,758.159574,5185,1"
443,"N4,8/13/12,6,1318.58511,761.989362,5175,1"
444,"N4,8/13/12,6,1326.24468,767.095745,5174,1"
445,"N4,8/13/12,6,1318.58511,776.031915,5172,1"
446,"N4,8/13/12,7,1345.39362,675.180851,6933,1"
447,"N4,8/13/12,7,1350.5,664.968085,6932,1"
448,"N4,8/13/12,7,1328.79787,677.734043,6924,1"
449,"N4,8/13/12,7,1317.30851,684.117021,6914,1"
450,"N4,8/13/12,7,1293.05319,693.053191,6901,1"
451,"N4,8/13/12,7,1300.71277,712.202128,6884,1"
452,"N4,8/13/12,7,1304.54255,755.606383,6873,1"
453,"N4,8/13/12,7,1280.28723,772.202128,6860,1"
